Player,Stat,Threshold,Percentage
Donte DiVincenzo,Pts+Rebs,11.5,40.0
Immanuel Quickley,Pts+Rebs,15.5,65.51724137931035
Josh Hart,Pts+Rebs,13.5,43.333333333333336
Kyle Kuzma,Pts+Rebs,28.5,43.333333333333336
Mikal Bridges,Pts+Rebs,27.5,38.70967741935484
Jordan Poole,Pts+Rebs,22.5,37.93103448275862
Cam Thomas,Pts+Rebs,24.5,45.45454545454545
Tyus Jones,Pts+Rebs,16.5,36.666666666666664
Cameron Johnson,Pts+Rebs,19.5,56.52173913043478
Daniel Gafford,Pts+Rebs,20.5,29.629629629629626
Spencer Dinwiddie,Pts+Rebs,18.5,37.93103448275862
Deni Avdija,Pts+Rebs,15.5,60.0
Corey Kispert,Pts+Rebs,14.5,41.37931034482759
Dorian Finney-Smith,Pts+Rebs,13.5,64.28571428571429
Bilal Coulibaly,Pts+Rebs,11.5,58.620689655172406
Royce O'Neale,Pts+Rebs,10.5,50.0
Donovan Mitchell,Pts+Rebs,36.5,36.36363636363637
Giannis Antetokounmpo,Pts+Rebs,43.0,40.0
Damian Lillard,Pts+Rebs,28.5,65.51724137931035
Khris Middleton,Pts+Rebs,22.5,34.61538461538461
Brook Lopez,Pts+Rebs,17.5,48.38709677419355
Malik Beasley,Pts+Rebs,12.5,65.51724137931035
Trae Young,Pts+Rebs,32.5,46.42857142857143
De'Aaron Fox,Pts+Rebs,35.5,39.130434782608695
Dejounte Murray,Pts+Rebs,25.5,43.333333333333336
Domantas Sabonis,Pts+Rebs,35.0,31.03448275862069
Saddiq Bey,Pts+Rebs,20.5,46.666666666666664
Keegan Murray,Pts+Rebs,22.5,44.0
Clint Capela,Pts+Rebs,23.5,44.827586206896555
Harrison Barnes,Pts+Rebs,15.5,44.827586206896555
Jalen Johnson,Pts+Rebs,20.5,56.25
Kevin Huerter,Pts+Rebs,12.5,50.0
Bogdan Bogdanovic,Pts+Rebs,21.5,42.857142857142854
Malik Monk,Pts+Rebs,16.5,50.0
Onyeka Okongwu,Pts+Rebs,16.5,50.0
Scottie Barnes,Pts+Rebs,29.5,53.333333333333336
Pascal Siakam,Pts+Rebs,30.5,30.0
OG Anunoby,Pts+Rebs,18.5,38.46153846153847
Jakob Poeltl,Pts+Rebs,18.5,53.333333333333336
Alperen Sengun,Pts+Rebs,34.5,24.137931034482758
Tyrese Maxey,Pts+Rebs,31.5,48.275862068965516
Fred VanVleet,Pts+Rebs,22.5,46.42857142857143
Tobias Harris,Pts+Rebs,28.5,26.666666666666668
Jalen Green,Pts+Rebs,24.5,37.93103448275862
De'Anthony Melton,Pts+Rebs,19.5,37.93103448275862
Paul Reed,Pts+Rebs,17.5,10.0
Kelly Oubre Jr.,Pts+Rebs,19.5,36.84210526315789
Nikola Jokic,Pts+Rebs,42.5,34.375
Shai Gilgeous-Alexander,Pts+Rebs,38.5,50.0
Jamal Murray,Pts+Rebs,28.5,21.052631578947366
Chet Holmgren,Pts+Rebs,25.5,41.37931034482759
Michael Porter Jr.,Pts+Rebs,24.5,54.54545454545454
Jalen Williams,Pts+Rebs,21.5,46.15384615384615
Luguentz Dort,Pts+Rebs,14.5,46.42857142857143
Kevin Durant,Pts+Rebs,32.5,73.07692307692307
Brandon Miller,Pts+Rebs,19.5,38.46153846153847
Devin Booker,Pts+Rebs,30.5,66.66666666666666
Miles Bridges,Pts+Rebs,26.5,44.44444444444444
Jusuf Nurkic,Pts+Rebs,23.5,39.285714285714285
Terry Rozier,Pts+Rebs,25.5,52.63157894736842
Grayson Allen,Pts+Rebs,16.5,52.0
Nick Richards,Pts+Rebs,19.5,47.82608695652174
Bradley Beal,Pts+Rebs,18.0,50.0
Devin Vassell,Pts+Rebs,26.5,24.0
Jeremy Sochan,Pts+Rebs,21.0,20.0
Zach Collins,Pts+Rebs,23.5,16.666666666666664
Malaki Branham,Pts+Rebs,15.5,23.333333333333332
Paolo Banchero,Pts+Asts,28.5,30.0
